contig_id,frame,orf_start_nt,orf_length,hepn_pair_count,flags,rejection_reason
NZ_AP044000.1,3,3986637,1002,3,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044000.1,3,3846891,776,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,3,2761017,609,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,3,2421309,1292,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,3,1859748,640,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,3,300234,884,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044000.1,3,151167,666,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044000.1,4,4526651,636,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,4,3833273,735,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,4,3202967,662,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044000.1,4,908372,1351,12,CAS9_RUVC,hard_signature:CAS9_RUVC
NZ_AP044000.1,5,1334587,794,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,5,991351,836,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,5,649237,1172,3,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044000.1,5,266254,739,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044000.1,5,166699,714,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,0,1205088,812,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,0,3612438,601,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,1112800,869,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,1416400,881,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,1,1905871,620,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,2275186,754,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,2463409,829,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,1,3745255,876,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,3920059,679,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,3973600,1234,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,4128898,642,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,1,4135087,821,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,2,453071,675,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,2,680912,617,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,2,1917122,664,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,2,2367989,662,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,2,2702294,620,6,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,2,4111055,600,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,3,4525560,636,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,3,4300632,735,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,3,4022433,980,3,GH3_KHFPGHGD|GH3_CATALYTIC,"hard_signature:GH3_KHFPGHGD,GH3_CATALYTIC"
NZ_AP044001.1,3,1860042,640,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,3,649761,1172,3,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,3,300234,884,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,3,151167,666,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,4,3987773,1002,3,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,4,3848027,776,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,4,2761790,609,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,4,2422082,1292,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,5,4557793,752,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,5,3834409,735,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,5,3203737,662,1,,no_reciprocal_hit(>=30%id over 80aa)
NZ_AP044001.1,5,1334881,794,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,5,991645,836,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,5,908668,1351,12,CAS9_RUVC,hard_signature:CAS9_RUVC
NZ_AP044001.1,5,266254,739,0,,no_canonical_R-X(4-6)-H_pair
NZ_AP044001.1,5,166699,714,0,,no_canonical_R-X(4-6)-H_pair
